1	6		7																																																		
2	9		10							11							12							28										Yazeba's Bed & Breakfast																			
3	40												77							63					Yazeba's Bed & Breakfast		Fiasco	89						Blades in the Dark																			
4	102											106							108		63				The Mall		CBR+PNK	114																									
5	119					123							Strange Adventures!		63			The Mall		Strange Adventures!		63			Yazeba's Bed & Breakfast		Monster of the Week		134					138						139													
6	119					123							P'tite Arcadie		63			Yazeba's Bed & Breakfast		P'tite Arcadie		63			The Mall		P'tite Arcadie		28									LICH	Hypermall Unlimited Violence														
7	7																															42		155		12.0			Changeling: Treasure	157													
8	158		159							160							161							45										12.0				162		163													
9	111					63					50 Fathoms		31					50 Fathoms		42					50 Fathoms		46							169		12.0			East Texas University	181													
10	63			Yazeba's Bed & Breakfast		63					50 Fathoms		31					50 Fathoms		42					50 Fathoms		34							189		3.0		192		194													
11	201									80			Monster of the Week		213		80			Monster of the Week		42			50 Fathoms		Monster of the Week		50					3.0				214		216													
12	63			50 Fathoms		31					50 Fathoms		P'tite Arcadie		42			50 Fathoms		P'tite Arcadie		42			Bunnies & Burrows	144			55					220		3.0			Noumenon														
13	7																															58		12.0				224		155													
14	225		227							229							232							80										235		6.0			Yellow Clearance Black Box Blues														
15	42			Sleeping with Ghosts		42					Sleeping with Ghosts		240					KAIRO GAIDEN		34				241			Monster of the Week		61					3.0					All Flesh Must Be Eaten	220													
16	42			Sleeping with Ghosts		42					Sleeping with Ghosts		240					KAIRO GAIDEN		34				248		249			63					250		6.0		252															
17	42			Sleeping with Ghosts		Monster of the Week		42			crapland	240						KAIRO GAIDEN		Monster of the Week		256		58		65								6.0					Outgunned: World of Killers														
18	42			Sleeping with Ghosts		Galgenbeck		262		241			34					KAIRO GAIDEN		Galgenbeck		67												6.0				267		268													
19	7																															88		ONI																			
20	284		7																													248		eXtreme	287					Askew													
21	9		10							11							12							254										Perfect Draw!	51					Castlevanilla													
22	45		58		45					58		45					46		298					46		300								Alma Matter	301					Honey Heist													
23	45		58		45					58		45					46		298					46		309								The God That Crawls	311					Do: Pilgrims of the Flying Temple													
24	45		58		45					58		319					46		298					309		320								Tokyo Brain Pop	324					Teenagers from Outer Space													
25	45		58		45					300		298					46		298					331																													
26	7																																																				
27	158		159							160							161																																				
28	298		331		310																																																
29	298		331																																																		
31	298		320																																																		
32	7																																																				
33	225		227							229							232																																				
