1	Date	Session	Campaign	System	Time														
2	45485.0	The Haunting of Castle Ravenloft	One-Shot	Knave [1e]	0.16666666666666666		GAMES PLAYED	132											
3	45505.0	When Night Falls on Sunnydale, Part I	When Night Falls on Sunnydale	Kids on Bikes [1e]	0.1875		HOURS PLAYED	23.22986111											
4	45519.0	When Night Falls on Sunnydale, Part II	When Night Falls on Sunnydale	Kids on Bikes [1e]	0.16666666666666666														
5	45530.0	EP00: Tutorial	Hollowed Roots	DC20	0.16666666666666666														
6	45531.0	When Night Falls on Sunnydale, Part IIII	When Night Falls on Sunnydale	Kids on Bikes [1e]	0.10416666666666667		Campaigns	Sessions	Time		Systems	Sessions	2026	2025	2024	Time			
7	45544.0	EP01: Leaving Blessed Hearts	Hollowed Roots	DC20	0.16666666666666666		One-Shot	37	6.522916667		Chronicles of Darkness [VTR]	11	11	0	0	1.915277778		One-Shot	Knave [1e]
8	45548.0	Graves Left Wanting	One-Shot	MÖRK BORG	0.14583333333333334		When Night Falls on Sunnydale	3	0.4583333333		Liminal Horror [PE]	6	6	0	0	1.065972222		When Night Falls on Sunnydale	Kids on Bikes [1e]
9	45551.0	EP02: Meeting the Firbolgs	Hollowed Roots	DC20	0.16666666666666666		Hollowed Roots	8	1.416666667		Yazeba's Bed & Breakfast	5	5	0	0	0.7625		Hollowed Roots	DC20
10	45556.0	Clio, Michigan	Skunks	Unknown Armies [2e]	0.1875		Skunks	8	1.786805556		Savage Worlds [Deluxe]	6	6	0	0	0.8895833333		Skunks	MÖRK BORG
11	45561.0	EP03: Banthii and His Merry Boys	Hollowed Roots	DC20	0.20833333333333334		SUB_URBIA	3	0.6277777778		Knave [2e]	4	3	1	0	0.8333333333		SUB_URBIA	Unknown Armies [2e]
12	45585.0	The Devil of New Orleans	One-Shot	Vampire: the Masquerade [5e]	0.1875		The Parthenogenesis of Hungry Hollow	5	0.9458333333		Kids on Bikes [2e]	6	3	3	0	1.192361111		The Parthenogenesis of Hungry Hollow	Vampire: the Masquerade [5e]
13	45588.0	Leland, Texas	Skunks	Unknown Armies [2e]	0.1875		Donjons & Catacombes Classique	2	0.3090277778		Glitter Hearts	6	3	3	0	1.15625		Donjons & Catacombes Classique	Liminal Horror
14	45596.0	One Night at the Shelterwood Inn	One-Shot	Liminal Horror	0.14583333333333334		Gradient Descent	12	2.023611111		Eat the Reich	2	2	0	0	0.3923611111		Gradient Descent	Everyone is John
15	45600.0	EP04: The Church of Aurel	Hollowed Roots	DC20	0.1875		Mondo Carne	5	0.8534722222		Monster of the Week [2e]	2	1	1	0	0.4076388889		Mondo Carne	Dungeon Crawl Classics
16	45607.0	EP05: The Malum Tree	Hollowed Roots	DC20	0.1875		The Blooming of Hungry Hollow	4	0.5618055556		Dungeons & Dragons [0e]	5	1	4	0	0.7763888889		The Blooming of Hungry Hollow	To Change
17	45614.0	All Bets Off	One-Shot	Everyone is John	0.10416666666666667		P'tite Arcadie	5	0.7763888889		Jim Henson's Labyrinth	1	1	0	0	0.2541666667		P'tite Arcadie	They Feed on Fear
18	45614.0	EP06: The Titan's Mouth	Hollowed Roots	DC20	0.14583333333333334		Strange Adventures!	5	0.9944444444		i'm sorry did you say street magic	1	1	0	0	0.1618055556		Strange Adventures!	Monster of the Week [2e]
19	45618.0	Bahadea, Washington	Skunks	Unknown Armies [2e]	0.22916666666666666		The Heart of the Mystery	6	1.15625		Grandpa's Farm	1	1	0	0	0.2020833333		The Heart of the Mystery	Knave [2e]
20	45621.0	EP07: Elrin's Grave	Hollowed Roots	DC20	0.1875		The Mall	6	1.065972222		CBR+PNK	1	1	0	0	0.1597222222		The Mall	Kids on Bikes [2e]
21	45628.0	S0: Town	SUB_URBIA	Kids on Bikes [1e]	0.22916666666666666		Yazeba's Bed & Breakfast	5	0.7625		Knave [1e]	1	0	0	1	0.1666666667		Yazeba's Bed & Breakfast	Mausritter
