1	#	GAME	SHOW	MOVIE1	MOVIE2	MOVIE3	MOVIE4	MOVIE5	BOOK	COMIC
2	c1	Predator	N/A	Annihilation	Solaris	Sicario	Stalker	Valhalla Rising	N/A	Predator Omnibus+
3		Horror on the Orient Express		
4		The Path to Eden		
5		ATA: All-Time Anxious		
6		Don't Rest Your Head		
7		Alien RPG 		
8		KAIROGAIDEN		
9		Into the Weird and Wyld		
10		Predator: Savage Planet		
11		Bloodletting		
12		Sleeping With Ghosts		
13		Lacuna Part 1		
24		Horror on the Orient Express
25		The Path to Eden
26		ATA: All-Time Anxious
27		Don't Rest Your Head
28		Alien RPG 
29		KAIROGAIDEN
30		Into the Weird and Wyld
31		50 Fathoms
32		Predator: Savage Planet
33		Bloodletting
34		Sleeping With Ghosts
35		Lacuna Part 1
